Grid_Ref	longitude	latitude	Rainforest.P	Residential.P	Fruit.P	Other.P	Total_Road	Sightings	Strikes	Residential.01	Fruit.01	Dresid	Dfruit
T15	404500	8023500	0.503805	0.229658	0.000570845	0.265965	1.00208	79	1	1	1	194.224357972	557.281693954
T17	404500	8021500	0.282709	0.235344	0	0.0408688	0.571184	28	1	1	0	0	1022.56011089
T18	404500	8020500	0.0786135	0.126712	0	0.179612	1.00099	8	0	1	0	124.754761412	1898.07918071
T19	404500	8019500	0.197596	0.152631	0	0.00392632	1.00218	24	0	1	0	212.879090954	1199.10553971
T20	404500	8018500	0.106283	0.093734	0.00610531	0.178499	1.04134	5	0	1	1	104.600110565	558.902448426
T21	404500	8017500	0.346655	0	0.0118896	0.00396002	0.372171	13	0	0	1	572.91932229	575.769012271
T22	404500	8016500	0.0587495	0.0672737	0	0	0.00590503	22	1	1	0	346.1911448	1361.36938347
U04	405500	8034500	0.288453	0.291512	0	0.0409768	0.3926	0	0	1	0	0	1042.41462627
U11	405500	8027500	0.0247091	0.000286975	0	0	0.171737	0	0	1	0	615.809912771	1144.73761418
U12	405500	8026500	0.0751941	0.0847741	0.00953052	0	1.01702	12	1	1	1	362.075466267	456.04330374
U13	405500	8025500	0.308127	0.0566418	0.309481	0.122169	1.37808	11	0	1	1	172.056908388	0
U14	405500	8024500	0.25111	0.166961	0.134725	0.12042	1.970006	16	0	1	1	96.9988948103	250.671710072
U15	405500	8023500	0.141026	0.130549	0	0.0179803	0.355994	16	0	1	0	237.156461811	681.989819465
V13	406500	8025500	0.0930646	0.0243931	0	0	0.155086	0	0	1	0	353.559822866	903.354665607
